,len,url_count,evil_char,evil_word,shang
45392,-0.861742975214536,0,0.0,0.0,-0.4117832572750398
45393,-0.841506219472463,0,0.0,0.0,-1.2521281255688805
45394,-1.0034002654090473,0,0.0,0.0,-1.1988317679250875
45395,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45396,-0.43677110463100227,0,0.0,0.0,-0.29662684294200936
45397,-0.9426899981828281,0,0.0,0.0,-1.3288291790176194
45398,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45399,1.4047736678976441,0,0.1111111111111111,0.0,2.236944130370905
45400,0.3322256135677731,1,0.7777777777777777,0.0,0.8447542240254254
45401,-0.8212694637303899,0,0.0,0.0,-0.6753610447533077
45402,-0.9224532424407551,0,0.0,0.0,-1.3372533863494926
45403,-0.3558240816627101,0,0.0,0.0,-0.16592539229285785
45404,-1.0034002654090473,0,0.0,0.0,-1.7849803704282485
45405,-0.8212694637303899,0,0.0,0.0,-0.9369022911445146
45406,-0.8212694637303899,0,0.0,0.0,-0.614520559767777
45407,0.37269912505191916,1,0.7777777777777777,0.0,1.0667941637781528
45408,-0.7403224407620977,0,0.2222222222222222,0.0,-0.8799372220377469
45409,-0.8212694637303899,0,0.0,0.0,-0.514170179064937
45410,-0.43677110463100227,0,0.0,0.0,-0.18276461182718798
45411,-0.274877058694418,0,0.0,0.0,1.1145260328730784
45412,-0.8212694637303899,0,0.0,0.0,-0.614520559767777
45413,-0.9831635096669742,0,0.0,0.0,-1.2651388952018192
45414,-0.841506219472463,0,0.0,0.0,-0.7762213864767834
45415,-0.9629267539249011,0,0.0,0.0,-1.0583346731687107
45416,-0.861742975214536,0,0.0,0.0,-0.9490861429029354
45417,-0.8212694637303899,0,0.0,0.0,-0.6145205597677762
45418,-0.9831635096669742,0,0.0,0.0,-0.9964874523878712
45419,-0.6593754177938056,0,0.0,0.0,-0.10578700931295737
45420,-0.8212694637303899,0,0.0,0.0,-0.8365519104416769
45421,-0.43677110463100227,0,0.0,0.0,-0.3995503103295362
45422,-0.295113814436491,0,0.0,0.0,1.0678388464224544
45423,-0.8212694637303899,0,0.0,0.0,-0.7757114254561455
45424,-0.1736932799840528,0,0.0,0.0,-0.5702624761299353
45425,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45426,-0.861742975214536,0,0.0,0.0,-0.8375857198997804
45427,-1.0438737768931934,0,0.0,0.0,-1.6654899904067981
45428,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45429,-0.7605591965041708,0,0.0,0.0,-0.9910201057289479
45430,-0.8010327079883168,0,0.0,0.0,-1.258236442385186
45431,-0.43677110463100227,0,0.0,0.0,-0.5648742751381193
45432,-0.8212694637303899,0,0.0,0.0,-0.3529793133765679
45433,-0.8212694637303899,0,0.0,0.0,-0.8365519104416754
45434,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45435,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45436,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45437,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45438,-0.9831635096669742,0,0.0,0.0,-1.9038425891389334
45439,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45440,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45441,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45442,-0.8212694637303899,0,0.0,0.0,-0.8365519104416769
45443,-0.8212694637303899,0,0.0,0.0,-0.6753610447533063
45444,-0.8212694637303899,0,0.0,0.0,-1.0585832611155732
45445,-0.8212694637303899,0,0.0,0.0,-1.1589336418184137
45446,-0.7200856850200247,0,0.0,0.0,-0.8857522468796847
45447,-0.8212694637303899,0,0.0,0.0,-0.8365519104416754
45448,-0.881979730956609,0,0.0,0.0,-0.6373524697104271
45449,-0.43677110463100227,0,0.0,0.0,-0.11623657553962305
45450,-0.6593754177938056,1,0.3333333333333333,0.0,-0.26438083122288497
45451,-0.881979730956609,0,0.0,0.0,-0.5657754285509803
45452,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45453,-0.19393003572612583,0,0.0,0.0,1.4988365904172227
45454,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45455,-0.881979730956609,0,0.0,0.0,-0.8269887822849797
45456,-0.43677110463100227,0,0.0,0.0,-0.32782709165253787
45457,-0.6998489292779517,1,0.3333333333333333,0.0,-0.4079775776616702
45458,-0.881979730956609,0,0.0,0.0,-0.7554117411255321
45459,-0.5581916390834405,0,0.0,0.0,1.0629087065717895
45460,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45461,-0.19393003572612583,0,0.0,0.0,1.285341264122856
45462,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45464,-0.881979730956609,0,0.0,0.0,-1.2062614074340834
45465,-0.861742975214536,0,0.0,0.0,-0.4117832572750398
45466,-0.7200856850200247,0,0.0,0.0,-0.6765192497667174
45467,-0.9831635096669742,0,0.0,0.0,-1.5337903380157683
45468,-1.0236370211511203,0,0.0,0.0,-1.4204748882096214
45469,-0.6391386620517326,0,0.0,0.0,0.0822552546512782
45470,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45471,-0.8212694637303899,0,0.0,0.0,-0.8365519104416769
45472,-0.7200856850200247,0,0.0,0.0,-0.7316305983868968
45473,0.3322256135677731,1,0.7777777777777777,0.0,0.8447542240254254
45474,-0.43677110463100227,0,0.0,0.0,-0.1474368242501515
45475,-0.295113814436491,0,0.0,0.0,1.0678388464224544
45476,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45477,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45478,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45479,-0.881979730956609,0,0.0,0.0,-0.5657754285509803
45480,-0.7200856850200247,0,0.7777777777777777,0.0,-1.8210614343544909
45481,-0.9831635096669742,0,0.0,0.0,-1.26513889520182
45482,-0.9426899981828281,0,0.1111111111111111,0.0,-0.8682838484794224
45483,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45484,0.291752102083627,1,0.7777777777777777,0.0,0.8836259182728518
45485,-0.9831635096669742,0,0.0,0.0,-1.8024417808297164
45486,-0.9629267539249011,0,0.0,0.0,-1.0583346731687107
45487,-1.0438737768931934,0,0.0,0.0,-1.6654899904067981
45488,-0.6189019063096596,0,0.0,0.0,0.01917379295935333
45489,-0.8212694637303899,0,0.0,0.0,-0.6753610447533063
45490,-0.9831635096669742,0,0.0,0.0,-0.9964874523878712
45491,-0.841506219472463,0,0.0,0.0,-0.7762213864767834
45492,-0.9629267539249011,0,0.0,0.0,-1.0583346731687107
45493,-0.902216486698682,0,0.0,0.0,-1.5364164070317121
45494,-0.8212694637303899,0,0.0,0.0,-0.6753610447533077
45495,-0.9831635096669742,0,0.0,0.0,-1.2651388952018192
45496,-0.841506219472463,0,0.0,0.0,-0.7762213864767834
45497,-0.9629267539249011,0,0.0,0.0,-1.0583346731687107
45498,-0.9224532424407551,0,0.0,0.0,-0.907411077847176
45499,-0.8212694637303899,0,0.0,0.0,-0.8973923954272054
45500,-0.43677110463100227,0,0.0,0.0,-0.053836078118567554
45501,-0.31535057017856405,0,0.0,0.0,1.5041229284005073
45502,-0.1736932799840528,0,0.0,0.0,-0.5702624761299353
45503,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45504,-0.1736932799840528,0,0.0,0.0,-0.5715595660058268
45505,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45506,-0.8212694637303899,0,0.0,0.0,-0.9977427761300446
45507,-0.1736932799840528,0,0.0,0.0,-0.5715595660058268
45508,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45509,-0.8212694637303899,0,0.0,0.0,-0.7362015297388355
45510,-0.8212694637303899,0,0.0,0.0,-0.7757114254561455
45511,-0.1736932799840528,0,0.0,0.0,-0.5702624761299353
45512,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45513,-0.43677110463100227,0,0.0,0.0,-0.2300988066544416
45514,-0.31535057017856405,0,0.0,0.0,1.037760142452076
45515,-0.861742975214536,0,0.0,0.0,-0.8375857198997804
45516,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45517,-0.7200856850200247,0,0.0,0.0,-0.7081271663405659
45518,0.39293588079399216,1,0.7777777777777777,0.0,0.9162026875824661
45519,-0.8212694637303899,0,0.0,0.0,-0.514170179064937
45520,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45521,-1.0236370211511203,0,0.0,0.0,-1.4204748882096214
45522,-0.881979730956609,0,0.0,0.0,-0.8269887822849797
45523,-0.6998489292779517,0,0.2222222222222222,0.0,-0.4383698051365235
45524,-0.902216486698682,0,0.0,0.0,-1.3349278249212506
45525,-0.43677110463100227,0,0.0,0.0,-0.34808857663577386
